policyID,statecode,county
963511,FL,COLUMBIA COUNTY
729649,FL,COLUMBIA COUNTY
862584,FL,COLUMBIA COUNTY
371891,FL,COLUMBIA COUNTY
785595,FL,COLUMBIA COUNTY
567696,FL,COLUMBIA COUNTY
219025,FL,COLUMBIA COUNTY
447216,FL,COLUMBIA COUNTY
305141,FL,COLUMBIA COUNTY
625575,FL,COLUMBIA COUNTY
262109,FL,COLUMBIA COUNTY
228457,FL,COLUMBIA COUNTY
622799,FL,COLUMBIA COUNTY
233271,FL,COLUMBIA COUNTY
932950,FL,COLUMBIA COUNTY
641952,FL,COLUMBIA COUNTY
796260,FL,COLUMBIA COUNTY
301822,FL,COLUMBIA COUNTY
559927,FL,COLUMBIA COUNTY
224400,FL,COLUMBIA COUNTY
123936,FL,COLUMBIA COUNTY
333818,FL,COLUMBIA COUNTY
254323,FL,COLUMBIA COUNTY
247444,FL,COLUMBIA COUNTY
882598,FL,COLUMBIA COUNTY
386918,FL,COLUMBIA COUNTY
497337,FL,COLUMBIA COUNTY
526844,FL,COLUMBIA COUNTY
623400,FL,COLUMBIA COUNTY
826170,FL,COLUMBIA COUNTY
185483,FL,COLUMBIA COUNTY
920003,FL,COLUMBIA COUNTY
274246,FL,COLUMBIA COUNTY
423636,FL,COLUMBIA COUNTY
970906,FL,COLUMBIA COUNTY
227898,FL,COLUMBIA COUNTY
525138,FL,COLUMBIA COUNTY
923627,FL,COLUMBIA COUNTY
619743,FL,COLUMBIA COUNTY
910727,FL,COLUMBIA COUNTY
363647,FL,COLUMBIA COUNTY
512519,FL,COLUMBIA COUNTY
904304,FL,COLUMBIA COUNTY
835349,FL,COLUMBIA COUNTY
891725,FL,COLUMBIA COUNTY
923503,FL,COLUMBIA COUNTY
292347,FL,COLUMBIA COUNTY
363828,FL,COLUMBIA COUNTY
110490,FL,COLUMBIA COUNTY
480733,FL,COLUMBIA COUNTY
993346,FL,COLUMBIA COUNTY
934992,FL,ST  JOHNS COUNTY
645841,FL,ST  JOHNS COUNTY
747846,FL,ST  JOHNS COUNTY
482457,FL,ST  JOHNS COUNTY
574787,FL,ST  JOHNS COUNTY
831418,FL,ST  JOHNS COUNTY
968562,FL,ST  JOHNS COUNTY
576324,FL,ST  JOHNS COUNTY
290435,FL,ST  JOHNS COUNTY
526086,FL,ST  JOHNS COUNTY
119823,FL,ST  JOHNS COUNTY
497414,FL,ST  JOHNS COUNTY
340883,FL,ST  JOHNS COUNTY
892551,FL,ST  JOHNS COUNTY
670595,FL,ST  JOHNS COUNTY
194101,FL,ST  JOHNS COUNTY
167200,FL,ST  JOHNS COUNTY
139064,FL,ST  JOHNS COUNTY
846636,FL,ST  JOHNS COUNTY
310177,FL,NASSAU COUNTY
865452,FL,NASSAU COUNTY
783429,FL,NASSAU COUNTY
878060,FL,NASSAU COUNTY
935342,FL,NASSAU COUNTY
456376,FL,NASSAU COUNTY
363001,FL,NASSAU COUNTY
478864,FL,NASSAU COUNTY
600402,FL,NASSAU COUNTY
483983,FL,NASSAU COUNTY
991615,FL,NASSAU COUNTY
644573,FL,NASSAU COUNTY
853278,FL,NASSAU COUNTY
100658,FL,NASSAU COUNTY
433115,FL,NASSAU COUNTY
760337,FL,NASSAU COUNTY
884738,FL,NASSAU COUNTY
610102,FL,NASSAU COUNTY
830823,FL,NASSAU COUNTY
618364,FL,NASSAU COUNTY
712563,FL,NASSAU COUNTY
493030,FL,NASSAU COUNTY
188150,FL,NASSAU COUNTY
589642,FL,NASSAU COUNTY
846109,FL,NASSAU COUNTY
399079,FL,NASSAU COUNTY
680135,FL,NASSAU COUNTY
621379,FL,NASSAU COUNTY
606710,FL,NASSAU COUNTY
443319,FL,NASSAU COUNTY
228591,FL,NASSAU COUNTY
721610,FL,NASSAU COUNTY
507395,FL,NASSAU COUNTY
213399,FL,NASSAU COUNTY
579400,FL,NASSAU COUNTY
509951,FL,NASSAU COUNTY
930798,FL,NASSAU COUNTY
729247,FL,NASSAU COUNTY
288344,FL,NASSAU COUNTY
275351,FL,NASSAU COUNTY
976690,FL,NASSAU COUNTY
507111,FL,NASSAU COUNTY
547458,FL,NASSAU COUNTY
827732,FL,NASSAU COUNTY
229489,FL,NASSAU COUNTY
175251,FL,NASSAU COUNTY
590043,FL,NASSAU COUNTY
476037,FL,NASSAU COUNTY
674960,FL,NASSAU COUNTY
743790,FL,NASSAU COUNTY
817283,FL,NASSAU COUNTY
201980,FL,NASSAU COUNTY
351505,FL,NASSAU COUNTY
798806,FL,NASSAU COUNTY
153643,FL,NASSAU COUNTY
683653,FL,NASSAU COUNTY
475264,FL,NASSAU COUNTY
912944,FL,NASSAU COUNTY
945134,FL,NASSAU COUNTY
219959,FL,NASSAU COUNTY
793504,FL,NASSAU COUNTY
450423,FL,NASSAU COUNTY
505178,FL,NASSAU COUNTY
408688,FL,NASSAU COUNTY
477759,FL,NASSAU COUNTY
882441,FL,NASSAU COUNTY
727602,FL,NASSAU COUNTY
313226,FL,NASSAU COUNTY
337027,FL,NASSAU COUNTY
649251,FL,NASSAU COUNTY
142564,FL,NASSAU COUNTY
197782,FL,NASSAU COUNTY
709787,FL,NASSAU COUNTY
655065,FL,NASSAU COUNTY
176778,FL,NASSAU COUNTY
559179,FL,NASSAU COUNTY
698071,FL,NASSAU COUNTY
642950,FL,NASSAU COUNTY
477240,FL,NASSAU COUNTY
672348,FL,NASSAU COUNTY
922844,FL,NASSAU COUNTY
948580,FL,NASSAU COUNTY
364552,FL,NASSAU COUNTY
561601,FL,NASSAU COUNTY
584749,FL,NASSAU COUNTY
601327,FL,COLUMBIA COUNTY
302578,FL,COLUMBIA COUNTY
756585,FL,COLUMBIA COUNTY
627591,FL,COLUMBIA COUNTY
663563,FL,COLUMBIA COUNTY
108959,FL,COLUMBIA COUNTY
951069,FL,COLUMBIA COUNTY
490641,FL,BAKER COUNTY
443968,FL,BAKER COUNTY
433688,FL,CLAY COUNTY
168578,FL,CLAY COUNTY
294375,FL,CLAY COUNTY
902110,FL,CLAY COUNTY
279816,FL,CLAY COUNTY
994565,FL,CLAY COUNTY
930535,FL,CLAY COUNTY
844642,FL,CLAY COUNTY
292887,FL,CLAY COUNTY
655128,FL,CLAY COUNTY
164038,FL,CLAY COUNTY
163057,FL,CLAY COUNTY
327730,FL,CLAY COUNTY
218187,FL,CLAY COUNTY
697530,FL,CLAY COUNTY
619053,FL,CLAY COUNTY
431406,FL,CLAY COUNTY
256801,FL,CLAY COUNTY
571398,FL,CLAY COUNTY
239669,FL,CLAY COUNTY
530369,FL,CLAY COUNTY
948187,FL,CLAY COUNTY
571059,FL,CLAY COUNTY
470539,FL,CLAY COUNTY
791046,FL,CLAY COUNTY
563971,FL,CLAY COUNTY
823903,FL,CLAY COUNTY
812504,FL,CLAY COUNTY
597719,FL,CLAY COUNTY
716513,FL,CLAY COUNTY
378286,FL,CLAY COUNTY
698982,FL,CLAY COUNTY
624550,FL,CLAY COUNTY
666076,FL,CLAY COUNTY
474145,FL,CLAY COUNTY
572929,FL,CLAY COUNTY
640205,FL,CLAY COUNTY
295930,FL,CLAY COUNTY
823004,FL,CLAY COUNTY
230536,FL,CLAY COUNTY
936142,FL,CLAY COUNTY
724639,FL,CLAY COUNTY
119986,FL,CLAY COUNTY
603370,FL,CLAY COUNTY
532496,FL,CLAY COUNTY
786954,FL,CLAY COUNTY
416348,FL,CLAY COUNTY
506364,FL,CLAY COUNTY
311994,FL,CLAY COUNTY
807442,FL,CLAY COUNTY
235695,FL,CLAY COUNTY
481294,FL,CLAY COUNTY
292670,FL,CLAY COUNTY
127739,FL,CLAY COUNTY
869056,FL,CLAY COUNTY
514471,FL,CLAY COUNTY
903764,FL,CLAY COUNTY
192068,FL,CLAY COUNTY
109815,FL,CLAY COUNTY
495339,FL,CLAY COUNTY
752123,FL,CLAY COUNTY
412775,FL,CLAY COUNTY
249958,FL,CLAY COUNTY
754919,FL,CLAY COUNTY
829637,FL,CLAY COUNTY
931429,FL,CLAY COUNTY
565451,FL,CLAY COUNTY
722334,FL,CLAY COUNTY
630898,FL,CLAY COUNTY
166536,FL,CLAY COUNTY
469135,FL,CLAY COUNTY
678786,FL,CLAY COUNTY
284473,FL,CLAY COUNTY
499389,FL,CLAY COUNTY
541241,FL,CLAY COUNTY
797586,FL,CLAY COUNTY
812823,FL,CLAY COUNTY
598244,FL,CLAY COUNTY
788363,FL,CLAY COUNTY
737787,FL,CLAY COUNTY
445518,FL,CLAY COUNTY
758347,FL,CLAY COUNTY
195133,FL,CLAY COUNTY
991548,FL,CLAY COUNTY
696936,FL,CLAY COUNTY
393176,FL,CLAY COUNTY
626647,FL,CLAY COUNTY
915781,FL,CLAY COUNTY
827852,FL,CLAY COUNTY
800420,FL,CLAY COUNTY
728346,FL,CLAY COUNTY
928642,FL,CLAY COUNTY
442061,FL,CLAY COUNTY
810826,FL,CLAY COUNTY
336798,FL,CLAY COUNTY
830917,FL,CLAY COUNTY
984232,FL,CLAY COUNTY
203667,FL,CLAY COUNTY
395084,FL,CLAY COUNTY
869242,FL,CLAY COUNTY
704537,FL,CLAY COUNTY
692691,FL,CLAY COUNTY
580758,FL,CLAY COUNTY
515486,FL,CLAY COUNTY
884079,FL,CLAY COUNTY
491095,FL,CLAY COUNTY
579764,FL,CLAY COUNTY
263177,FL,CLAY COUNTY
710739,FL,CLAY COUNTY
156129,FL,CLAY COUNTY
178800,FL,BRADFORD COUNTY
406073,FL,BRADFORD COUNTY
450089,FL,BRADFORD COUNTY
894206,FL,NASSAU COUNTY
472007,FL,NASSAU COUNTY
500287,FL,NASSAU COUNTY
365732,FL,NASSAU COUNTY
365145,FL,NASSAU COUNTY
237841,FL,NASSAU COUNTY
497561,FL,NASSAU COUNTY
245837,FL,NASSAU COUNTY
732075,FL,NASSAU COUNTY
657625,FL,NASSAU COUNTY
790556,FL,NASSAU COUNTY
207626,FL,NASSAU COUNTY
902008,FL,NASSAU COUNTY
135936,FL,HAMILTON COUNTY
997759,FL,HAMILTON COUNTY
470224,FL,HAMILTON COUNTY
367761,FL,HAMILTON COUNTY
285586,FL,HAMILTON COUNTY
122164,FL,HAMILTON COUNTY
152913,FL,HAMILTON COUNTY
655156,FL,HAMILTON COUNTY
989201,FL,HAMILTON COUNTY
207985,FL,HAMILTON COUNTY
732449,FL,HAMILTON COUNTY
665653,FL,HAMILTON COUNTY
939634,FL,HAMILTON COUNTY
981796,FL,HAMILTON COUNTY
269573,FL,HAMILTON COUNTY
602123,FL,HAMILTON COUNTY
336717,FL,HAMILTON COUNTY
238449,FL,HAMILTON COUNTY
530357,FL,HAMILTON COUNTY
896911,FL,HAMILTON COUNTY
391646,FL,HAMILTON COUNTY
710345,FL,HAMILTON COUNTY
944525,FL,HAMILTON COUNTY
800878,FL,HAMILTON COUNTY
866106,FL,HAMILTON COUNTY
204794,FL,HAMILTON COUNTY
849458,FL,HAMILTON COUNTY
806471,FL,HAMILTON COUNTY
464589,FL,HAMILTON COUNTY
591943,FL,UNION COUNTY
973133,FL,UNION COUNTY
743965,FL,UNION COUNTY
528185,FL,UNION COUNTY
219113,FL,UNION COUNTY
376803,FL,UNION COUNTY
233559,FL,COLUMBIA COUNTY
579117,FL,COLUMBIA COUNTY
517674,FL,COLUMBIA COUNTY
980808,FL,COLUMBIA COUNTY
143584,FL,COLUMBIA COUNTY
489643,FL,COLUMBIA COUNTY
986109,FL,COLUMBIA COUNTY
654640,FL,COLUMBIA COUNTY
700895,FL,COLUMBIA COUNTY
407962,FL,COLUMBIA COUNTY
494610,FL,COLUMBIA COUNTY
744305,FL,COLUMBIA COUNTY
512991,FL,COLUMBIA COUNTY
507789,FL,COLUMBIA COUNTY
186262,FL,COLUMBIA COUNTY
978388,FL,COLUMBIA COUNTY
784347,FL,COLUMBIA COUNTY
679408,FL,COLUMBIA COUNTY
306619,FL,COLUMBIA COUNTY
457004,FL,COLUMBIA COUNTY
329255,FL,COLUMBIA COUNTY
900892,FL,COLUMBIA COUNTY
633241,FL,COLUMBIA COUNTY
502372,FL,COLUMBIA COUNTY
719075,FL,COLUMBIA COUNTY
920786,FL,COLUMBIA COUNTY
232605,FL,COLUMBIA COUNTY
601984,FL,COLUMBIA COUNTY
459878,FL,COLUMBIA COUNTY
565530,FL,COLUMBIA COUNTY
202651,FL,COLUMBIA COUNTY
909104,FL,COLUMBIA COUNTY
872719,FL,COLUMBIA COUNTY
997611,FL,COLUMBIA COUNTY
519606,FL,COLUMBIA COUNTY
624248,FL,COLUMBIA COUNTY
783767,FL,COLUMBIA COUNTY
285479,FL,COLUMBIA COUNTY
424793,FL,COLUMBIA COUNTY
256213,FL,COLUMBIA COUNTY
155199,FL,COLUMBIA COUNTY
830871,FL,COLUMBIA COUNTY
757768,FL,COLUMBIA COUNTY
176583,FL,COLUMBIA COUNTY
678864,FL,COLUMBIA COUNTY
854000,FL,COLUMBIA COUNTY
631978,FL,COLUMBIA COUNTY
967058,FL,COLUMBIA COUNTY
878374,FL,COLUMBIA COUNTY
113053,FL,COLUMBIA COUNTY
288738,FL,COLUMBIA COUNTY
594369,FL,COLUMBIA COUNTY
706890,FL,COLUMBIA COUNTY
536032,FL,COLUMBIA COUNTY
747825,FL,COLUMBIA COUNTY
608124,FL,COLUMBIA COUNTY
934739,FL,COLUMBIA COUNTY
757078,FL,COLUMBIA COUNTY
956518,FL,COLUMBIA COUNTY
548584,FL,COLUMBIA COUNTY
132904,FL,COLUMBIA COUNTY
111857,FL,COLUMBIA COUNTY
388383,FL,COLUMBIA COUNTY
276410,FL,BRADFORD COUNTY
546756,FL,BRADFORD COUNTY
669229,FL,MADISON COUNTY
766573,FL,MADISON COUNTY
765578,FL,MADISON COUNTY
166613,FL,MADISON COUNTY
883261,FL,MADISON COUNTY
842655,FL,MADISON COUNTY
248167,FL,SUWANNEE COUNTY
976562,FL,SUWANNEE COUNTY
620457,FL,SUWANNEE COUNTY
336697,FL,SUWANNEE COUNTY
648295,FL,SUWANNEE COUNTY
858080,FL,SUWANNEE COUNTY
579910,FL,SUWANNEE COUNTY
735184,FL,SUWANNEE COUNTY
420445,FL,SUWANNEE COUNTY
373504,FL,SUWANNEE COUNTY
266080,FL,SUWANNEE COUNTY
178535,FL,SUWANNEE COUNTY
574531,FL,BAKER COUNTY
606491,FL,BAKER COUNTY
885991,FL,BAKER COUNTY
908170,FL,BAKER COUNTY
487022,FL,BAKER COUNTY
723719,FL,BAKER COUNTY
628922,FL,BAKER COUNTY
232316,FL,BAKER COUNTY
151933,FL,BAKER COUNTY
225577,FL,BAKER COUNTY
443296,FL,BAKER COUNTY
747464,FL,BAKER COUNTY
548566,FL,BAKER COUNTY
510281,FL,BAKER COUNTY
481334,FL,BAKER COUNTY
621142,FL,BAKER COUNTY
907206,FL,BAKER COUNTY
963412,FL,BAKER COUNTY
561805,FL,BAKER COUNTY
177053,FL,BAKER COUNTY
888564,FL,BAKER COUNTY
399592,FL,BAKER COUNTY
616030,FL,BAKER COUNTY
671336,FL,BAKER COUNTY
914194,FL,BAKER COUNTY
632104,FL,BAKER COUNTY
895447,FL,BAKER COUNTY
969519,FL,BAKER COUNTY
149119,FL,BAKER COUNTY
804466,FL,BAKER COUNTY
688199,FL,BAKER COUNTY
977912,FL,BAKER COUNTY
312530,FL,BAKER COUNTY
154572,FL,BAKER COUNTY
299157,FL,BAKER COUNTY
358433,FL,BAKER COUNTY
131991,FL,BAKER COUNTY
844614,FL,BAKER COUNTY
735501,FL,BAKER COUNTY
703956,FL,BAKER COUNTY
547680,FL,BAKER COUNTY
562722,FL,BAKER COUNTY
820860,FL,BAKER COUNTY
894562,FL,BAKER COUNTY
577091,FL,BAKER COUNTY
755818,FL,BAKER COUNTY
839723,FL,BAKER COUNTY
118899,FL,BAKER COUNTY
612231,FL,BAKER COUNTY
163526,FL,BAKER COUNTY
278995,FL,BAKER COUNTY
875706,FL,BAKER COUNTY
712263,FL,BAKER COUNTY
241888,FL,BAKER COUNTY
115934,FL,BAKER COUNTY
214979,FL,BAKER COUNTY
601369,FL,BAKER COUNTY
859735,FL,BAKER COUNTY
868972,FL,BAKER COUNTY
369631,FL,BAKER COUNTY
130797,FL,SUWANNEE COUNTY
770857,FL,SUWANNEE COUNTY
834275,FL,SUWANNEE COUNTY
102432,FL,SUWANNEE COUNTY
776440,FL,SUWANNEE COUNTY
945568,FL,SUWANNEE COUNTY
132404,FL,SUWANNEE COUNTY
395018,FL,SUWANNEE COUNTY
248575,FL,SUWANNEE COUNTY
812631,FL,SUWANNEE COUNTY
220621,FL,SUWANNEE COUNTY
139061,FL,SUWANNEE COUNTY
419108,FL,SUWANNEE COUNTY
391574,FL,SUWANNEE COUNTY
449147,FL,SUWANNEE COUNTY
998635,FL,SUWANNEE COUNTY
437290,FL,SUWANNEE COUNTY
395835,FL,SUWANNEE COUNTY
613321,FL,SUWANNEE COUNTY
865150,FL,SUWANNEE COUNTY
635664,FL,SUWANNEE COUNTY
529300,FL,SUWANNEE COUNTY
430318,FL,SUWANNEE COUNTY
441395,FL,SUWANNEE COUNTY
294015,FL,SUWANNEE COUNTY
950097,FL,SUWANNEE COUNTY
110324,FL,SUWANNEE COUNTY
416938,FL,SUWANNEE COUNTY
586755,FL,SUWANNEE COUNTY
863494,FL,SUWANNEE COUNTY
574538,FL,SUWANNEE COUNTY
514370,FL,SUWANNEE COUNTY
373414,FL,SUWANNEE COUNTY
997019,FL,SUWANNEE COUNTY
910144,FL,SUWANNEE COUNTY
552357,FL,SUWANNEE COUNTY
655342,FL,SUWANNEE COUNTY
897773,FL,SUWANNEE COUNTY
926390,FL,SUWANNEE COUNTY
216408,FL,SUWANNEE COUNTY
548404,FL,SUWANNEE COUNTY
206428,FL,SUWANNEE COUNTY
292458,FL,SUWANNEE COUNTY
919465,FL,SUWANNEE COUNTY
630483,FL,SUWANNEE COUNTY
825224,FL,SUWANNEE COUNTY
404295,FL,SUWANNEE COUNTY
150387,FL,SUWANNEE COUNTY
946844,FL,SUWANNEE COUNTY
751897,FL,SUWANNEE COUNTY
910845,FL,SUWANNEE COUNTY
763316,FL,SUWANNEE COUNTY
727002,FL,SUWANNEE COUNTY
559336,FL,SUWANNEE COUNTY
236251,FL,SUWANNEE COUNTY
529747,FL,SUWANNEE COUNTY
858323,FL,SUWANNEE COUNTY
158617,FL,SUWANNEE COUNTY
334713,FL,SUWANNEE COUNTY
318842,FL,SUWANNEE COUNTY
649501,FL,SUWANNEE COUNTY
445540,FL,SUWANNEE COUNTY
371999,FL,SUWANNEE COUNTY
218472,FL,SUWANNEE COUNTY
580250,FL,SUWANNEE COUNTY
907556,FL,SUWANNEE COUNTY
327269,FL,SUWANNEE COUNTY
892361,FL,SUWANNEE COUNTY
398442,FL,SUWANNEE COUNTY
423598,FL,SUWANNEE COUNTY
327184,FL,SUWANNEE COUNTY
314582,FL,SUWANNEE COUNTY
975779,FL,SUWANNEE COUNTY
337568,FL,SUWANNEE COUNTY
459597,FL,SUWANNEE COUNTY
511988,FL,SUWANNEE COUNTY
455917,FL,SUWANNEE COUNTY
304879,FL,SUWANNEE COUNTY
881425,FL,SUWANNEE COUNTY
208817,FL,SUWANNEE COUNTY
918862,FL,SUWANNEE COUNTY
523984,FL,SUWANNEE COUNTY
226520,FL,SUWANNEE COUNTY
413066,FL,SUWANNEE COUNTY
177491,FL,SUWANNEE COUNTY
906786,FL,SUWANNEE COUNTY
252960,FL,SUWANNEE COUNTY
753041,FL,SUWANNEE COUNTY
275656,FL,SUWANNEE COUNTY
366151,FL,SUWANNEE COUNTY
143520,FL,SUWANNEE COUNTY
578715,FL,SUWANNEE COUNTY
728171,FL,SUWANNEE COUNTY
147189,FL,SUWANNEE COUNTY
626834,FL,SUWANNEE COUNTY
840720,FL,SUWANNEE COUNTY
911131,FL,SUWANNEE COUNTY
814705,FL,SUWANNEE COUNTY
896748,FL,SUWANNEE COUNTY
640263,FL,SUWANNEE COUNTY
756661,FL,SUWANNEE COUNTY
267816,FL,SUWANNEE COUNTY
876992,FL,SUWANNEE COUNTY
866801,FL,SUWANNEE COUNTY
135106,FL,SUWANNEE COUNTY
995558,FL,SUWANNEE COUNTY
577604,FL,SUWANNEE COUNTY
334208,FL,SUWANNEE COUNTY
601206,FL,SUWANNEE COUNTY
335613,FL,SUWANNEE COUNTY
586214,FL,SUWANNEE COUNTY
645424,FL,SUWANNEE COUNTY
584595,FL,SUWANNEE COUNTY
924430,FL,SUWANNEE COUNTY
842675,FL,CLAY COUNTY
379599,FL,CLAY COUNTY
280286,FL,CLAY COUNTY
147622,FL,CLAY COUNTY
592104,FL,CLAY COUNTY
936914,FL,CLAY COUNTY
689421,FL,CLAY COUNTY
162509,FL,CLAY COUNTY
205789,FL,CLAY COUNTY
559033,FL,CLAY COUNTY
411708,FL,CLAY COUNTY
945341,FL,CLAY COUNTY
985128,FL,CLAY COUNTY
859902,FL,CLAY COUNTY
767859,FL,CLAY COUNTY
235747,FL,CLAY COUNTY
644183,FL,CLAY COUNTY
956443,FL,CLAY COUNTY
278796,FL,CLAY COUNTY
608556,FL,CLAY COUNTY
454763,FL,CLAY COUNTY
908461,FL,CLAY COUNTY
333252,FL,CLAY COUNTY
332105,FL,CLAY COUNTY
874411,FL,CLAY COUNTY
700665,FL,CLAY COUNTY
582288,FL,CLAY COUNTY
903047,FL,CLAY COUNTY
446936,FL,CLAY COUNTY
758257,FL,CLAY COUNTY
205579,FL,CLAY COUNTY
542261,FL,CLAY COUNTY
467776,FL,CLAY COUNTY
547808,FL,CLAY COUNTY
148603,FL,CLAY COUNTY
620151,FL,CLAY COUNTY
423148,FL,CLAY COUNTY
285805,FL,CLAY COUNTY
666963,FL,CLAY COUNTY
218058,FL,CLAY COUNTY
824968,FL,CLAY COUNTY
583791,FL,CLAY COUNTY
288895,FL,CLAY COUNTY
622218,FL,CLAY COUNTY
471679,FL,CLAY COUNTY
330603,FL,CLAY COUNTY
340377,FL,CLAY COUNTY
325580,FL,CLAY COUNTY
355939,FL,CLAY COUNTY
537551,FL,CLAY COUNTY
817217,FL,CLAY COUNTY
307610,FL,CLAY COUNTY
934843,FL,CLAY COUNTY
479633,FL,CLAY COUNTY
261810,FL,CLAY COUNTY
251498,FL,CLAY COUNTY
652676,FL,CLAY COUNTY
430162,FL,CLAY COUNTY
107565,FL,CLAY COUNTY
137773,FL,CLAY COUNTY
150881,FL,CLAY COUNTY
818305,FL,CLAY COUNTY
772993,FL,CLAY COUNTY
335686,FL,CLAY COUNTY
354163,FL,CLAY COUNTY
131859,FL,CLAY COUNTY
102237,FL,CLAY COUNTY
496689,FL,CLAY COUNTY
386266,FL,CLAY COUNTY
189496,FL,CLAY COUNTY
448454,FL,CLAY COUNTY
152055,FL,CLAY COUNTY
516954,FL,CLAY COUNTY
346222,FL,LAFAYETTE COUNTY
827364,FL,LAFAYETTE COUNTY
865575,FL,LAFAYETTE COUNTY
666784,FL,LAFAYETTE COUNTY
908304,FL,LAFAYETTE COUNTY
724035,FL,LAFAYETTE COUNTY
616507,FL,LAFAYETTE COUNTY
743467,FL,LAFAYETTE COUNTY
542565,FL,LAFAYETTE COUNTY
666420,FL,LAFAYETTE COUNTY
716343,FL,LAFAYETTE COUNTY
166243,FL,LAFAYETTE COUNTY
869527,FL,LAFAYETTE COUNTY
793316,FL,LAFAYETTE COUNTY
525660,FL,LAFAYETTE COUNTY
228542,FL,LAFAYETTE COUNTY
345892,FL,LAFAYETTE COUNTY
235832,FL,LAFAYETTE COUNTY
710139,FL,LAFAYETTE COUNTY
352426,FL,LAFAYETTE COUNTY
384442,FL,LAFAYETTE COUNTY
286876,FL,LAFAYETTE COUNTY
300150,FL,LAFAYETTE COUNTY
604759,FL,LAFAYETTE COUNTY
374411,FL,LAFAYETTE COUNTY
447691,FL,LAFAYETTE COUNTY
735405,FL,LAFAYETTE COUNTY
476328,FL,LAFAYETTE COUNTY
188892,FL,LAFAYETTE COUNTY
738918,FL,LAFAYETTE COUNTY
320338,FL,LAFAYETTE COUNTY
443947,FL,LAFAYETTE COUNTY
167317,FL,LAFAYETTE COUNTY
430437,FL,LAFAYETTE COUNTY
873593,FL,LAFAYETTE COUNTY
653808,FL,LAFAYETTE COUNTY
122734,FL,LAFAYETTE COUNTY
603486,FL,LAFAYETTE COUNTY
855783,FL,LAFAYETTE COUNTY
379870,FL,LAFAYETTE COUNTY
536577,FL,LAFAYETTE COUNTY
178873,FL,LAFAYETTE COUNTY
300562,FL,LAFAYETTE COUNTY
555619,FL,LAFAYETTE COUNTY
758060,FL,LAFAYETTE COUNTY
489526,FL,LAFAYETTE COUNTY
861565,FL,LAFAYETTE COUNTY
692765,FL,LAFAYETTE COUNTY
428588,FL,LAFAYETTE COUNTY
116583,FL,LAFAYETTE COUNTY
779587,FL,LAFAYETTE COUNTY
827888,FL,LAFAYETTE COUNTY
983194,FL,LAFAYETTE COUNTY
549068,FL,LAFAYETTE COUNTY
116416,FL,LAFAYETTE COUNTY
787983,FL,LAFAYETTE COUNTY
473317,FL,LAFAYETTE COUNTY
